INFO  - 2017-08-10 10:35:20.080; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2017-08-10 10:35:20.081; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2017-08-10 10:35:20.082; org.apache.solr.handler.component.SuggestComponent$SuggesterListener; Loading suggester index for: mySuggester
INFO  - 2017-08-10 10:35:20.083; org.apache.solr.spelling.suggest.SolrSuggester; reload()
INFO  - 2017-08-10 10:35:20.083; org.apache.solr.spelling.suggest.SolrSuggester; build()
INFO  - 2017-08-10 10:35:20.136; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@3cb7e0c4[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2017-08-10 12:14:39.059; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2017-08-10 12:14:39.184; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor C:\solr-4.9.1\example\contexts at interval 0
INFO  - 2017-08-10 12:14:39.215; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: C:\solr-4.9.1\example\contexts\solr-jetty-context.xml
INFO  - 2017-08-10 12:14:46.956; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
